0.5 0.5,5,{'penalty': 'l1', 'C': 0.001},{'penalty': 'l1', 'C': 0.001},0.35,0.3392857143
0.6 0.4,4,{'penalty': 'l1', 'C': 0.001},{'penalty': 'l1', 'C': 0.001},0.35,0.3392857143
0.6 0.4,5,{'penalty': 'l1', 'C': 0.001},{'penalty': 'l1', 'C': 0.001},0.35,0.3392857143
0.4 0.6,4,{'penalty': 'l1', 'C': 0.001},{'penalty': 'l1', 'C': 0.001},0.35,0.3392857143
0.4 0.6,5,{'penalty': 'l1', 'C': 0.001},{'penalty': 'l1', 'C': 0.001},0.35,0.3392857143
0.5 0.5,3,{'penalty': 'l1', 'C': 1.0},{'penalty': 'l2', 'C': 0.031622776601683791},0.3333333333,0.843373494
0.5 0.5,3,{'penalty': 'l1', 'C': 1.0},{'penalty': 'l1', 'C': 1.0},0.3333333333,0.8674698795
0.5 0.5,3,{'penalty': 'l1', 'C': 1.0},{'penalty': 'l2', 'C': 1.0},0.3333333333,0.8674698795
0.5 0.5,4,{'penalty': 'l1', 'C': 0.001},{'penalty': 'l2', 'C': 0.031622776601683791},0.3333333333,0.74
0.5 0.5,4,{'penalty': 'l1', 'C': 0.001},{'penalty': 'l1', 'C': 1.0},0.3333333333,0.7872340426
0.5 0.5,4,{'penalty': 'l2', 'C': 0.001},{'penalty': 'l2', 'C': 0.031622776601683791},0.3333333333,0.72
0.5 0.5,4,{'penalty': 'l2', 'C': 0.001},{'penalty': 'l1', 'C': 1.0},0.3333333333,0.7708333333
0.5 0.5,4,{'penalty': 'l2', 'C': 0.001},{'penalty': 'l2', 'C': 1.0},0.3333333333,0.7708333333
0.5 0.5,4,{'penalty': 'l2', 'C': 0.031622776601683791},{'penalty': 'l2', 'C': 0.031622776601683791},0.3333333333,0.7659574468
0.5 0.5,4,{'penalty': 'l2', 'C': 0.031622776601683791},{'penalty': 'l2', 'C': 31.622776601683793},0.3333333333,0.7872340426
0.5 0.5,4,{'penalty': 'l2', 'C': 0.031622776601683791},{'penalty': 'l2', 'C': 1000.0},0.3333333333,0.7789473684
0.5 0.5,4,{'penalty': 'l1', 'C': 31.622776601683793},{'penalty': 'l2', 'C': 1000.0},0.3333333333,0.8539325843
0.5 0.5,4,{'penalty': 'l1', 'C': 1000.0},{'penalty': 'l2', 'C': 1000.0},0.3333333333,0.8539325843
0.5 0.5,4,{'penalty': 'l2', 'C': 1000.0},{'penalty': 'l2', 'C': 1000.0},0.3333333333,0.8539325843
0.6 0.4,4,{'penalty': 'l1', 'C': 0.001},{'penalty': 'l2', 'C': 0.031622776601683791},0.3333333333,0.74
0.6 0.4,4,{'penalty': 'l1', 'C': 0.001},{'penalty': 'l1', 'C': 1.0},0.3333333333,0.7789473684
0.6 0.4,4,{'penalty': 'l2', 'C': 0.001},{'penalty': 'l1', 'C': 1.0},0.3333333333,0.7474747475
0.6 0.4,4,{'penalty': 'l2', 'C': 0.001},{'penalty': 'l2', 'C': 1.0},0.3333333333,0.7474747475
0.6 0.4,4,{'penalty': 'l2', 'C': 0.001},{'penalty': 'l1', 'C': 31.622776601683793},0.3333333333,0.7474747475
0.6 0.4,4,{'penalty': 'l2', 'C': 0.001},{'penalty': 'l2', 'C': 31.622776601683793},0.3333333333,0.7551020408
0.6 0.4,4,{'penalty': 'l2', 'C': 0.001},{'penalty': 'l1', 'C': 1000.0},0.3333333333,0.7474747475
0.6 0.4,4,{'penalty': 'l2', 'C': 0.001},{'penalty': 'l2', 'C': 1000.0},0.3333333333,0.7628865979
0.6 0.4,4,{'penalty': 'l2', 'C': 0.031622776601683791},{'penalty': 'l2', 'C': 31.622776601683793},0.3333333333,0.7741935484
0.6 0.4,4,{'penalty': 'l2', 'C': 0.031622776601683791},{'penalty': 'l1', 'C': 1000.0},0.3333333333,0.7659574468
0.6 0.4,4,{'penalty': 'l2', 'C': 0.031622776601683791},{'penalty': 'l2', 'C': 1000.0},0.3333333333,0.7659574468
0.6 0.4,4,{'penalty': 'l2', 'C': 1.0},{'penalty': 'l2', 'C': 1000.0},0.3333333333,0.8314606742
0.4 0.6,3,{'penalty': 'l1', 'C': 1.0},{'penalty': 'l2', 'C': 1.0},0.3333333333,0.8571428571
0.4 0.6,4,{'penalty': 'l1', 'C': 0.001},{'penalty': 'l2', 'C': 0.031622776601683791},0.3333333333,0.7474747475
0.4 0.6,4,{'penalty': 'l1', 'C': 0.001},{'penalty': 'l1', 'C': 1.0},0.3333333333,0.7872340426
0.4 0.6,4,{'penalty': 'l2', 'C': 0.001},{'penalty': 'l2', 'C': 0.031622776601683791},0.3333333333,0.72
0.4 0.6,4,{'penalty': 'l2', 'C': 0.001},{'penalty': 'l1', 'C': 1.0},0.3333333333,0.7956989247
0.4 0.6,4,{'penalty': 'l1', 'C': 31.622776601683793},{'penalty': 'l2', 'C': 31.622776601683793},0.3333333333,0.8314606742
0.4 0.6,4,{'penalty': 'l1', 'C': 31.622776601683793},{'penalty': 'l2', 'C': 1000.0},0.3333333333,0.8314606742
