0.7 0.3,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 0.001},6.6961184655,5.8442675536
0.5 0.5,{'normalize': True, 'alpha': 1000.0},{'normalize': True, 'alpha': 1000.0},6.6967111992,5.8983958059
0.5 0.5,{'normalize': True, 'alpha': 1000.0},{'normalize': True, 'alpha': 1.0},6.6972321647,5.8575137248
0.3 0.7,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 0.031622776601683791},6.6973731606,5.7364639735
0.3 0.7,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 0.031622776601683791},6.6987337285,5.7388747708
0.3 0.7,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 31.622776601683793},6.7002789527,5.8920862382
0.3 0.7,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 0.001},6.7007921109,5.7323167173
0.7 0.3,{'normalize': True, 'alpha': 1000.0},{'normalize': True, 'alpha': 0.031622776601683791},6.7008120417,5.8514756888
0.3 0.7,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 1000.0},6.7017091692,5.8965720351
0.3 0.7,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 0.001},6.7021544427,5.7347238279
0.7 0.3,{'normalize': True, 'alpha': 1000.0},{'normalize': True, 'alpha': 0.001},6.7021809007,5.8495598385
0.3 0.7,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 1.0},6.7027675232,5.8397802058
0.3 0.7,{'normalize': True, 'alpha': 1000.0},{'normalize': True, 'alpha': 31.622776601683793},6.7028686577,5.894365714
0.3 0.7,{'normalize': True, 'alpha': 1000.0},{'normalize': True, 'alpha': 1000.0},6.70429434,5.8988435013
0.3 0.7,{'normalize': True, 'alpha': 1000.0},{'normalize': True, 'alpha': 1.0},6.7053697876,5.8420813174
0.3 0.7,{'normalize': True, 'alpha': 1.0},{'normalize': True, 'alpha': 0.031622776601683791},6.709436801,5.7626731207
0.5 0.5,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 0.031622776601683791},6.7118293973,5.8172747792
0.3 0.7,{'normalize': True, 'alpha': 1.0},{'normalize': True, 'alpha': 0.001},6.7128472836,5.7585010315
0.5 0.5,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 0.001},6.7141815484,5.8141803756
0.5 0.5,{'normalize': True, 'alpha': 1000.0},{'normalize': True, 'alpha': 0.031622776601683791},6.716142282,5.8210558651
0.5 0.5,{'normalize': True, 'alpha': 1000.0},{'normalize': True, 'alpha': 0.001},6.7184899217,5.8179582468
0.3 0.7,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 0.031622776601683791},6.7300702398,5.7898876335
0.3 0.7,{'normalize': True, 'alpha': 1000.0},{'normalize': True, 'alpha': 0.031622776601683791},6.7326455116,5.7921550846
0.3 0.7,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 0.001},6.733452397,5.7856899509
0.3 0.7,{'normalize': True, 'alpha': 1000.0},{'normalize': True, 'alpha': 0.001},6.7360238611,5.787954634
