Feature,P-value,F-value
F0,5.6099967068446889e-20,85.46650608318204
VUV,0.55432333861436645,0.34974127057707444
NAQ,0.94054326440462876,0.0055645639593345994
QOQ,0.63069744737470645,0.23118397930489404
H1H2,2.9689722070550165e-17,72.610160586479722
PSP,1.5272565682478911e-08,32.27162587512781
MDQ,0.00081436615969225482,11.240878225780563
peakSlope,8.1164131447940328e-09,33.519888104234333
Rd,4.248049002700821e-06,21.261581462686117
Rd_conf,0.063403339107941645,3.4496986632311297
creak,nan,nan
MCEP_0,0.26045363523823883,1.2670284166571659
MCEP_1,0.22361693888597761,1.4818836927020409
MCEP_2,3.2883934118144432e-05,17.31858853807158
MCEP_3,1.441865002743573e-05,18.902049835274791
MCEP_4,0.00010427677873589428,15.115427290441181
MCEP_5,9.8846892883133612e-13,51.500947690061381
MCEP_6,4.8567903299471737e-11,43.693102150843409
MCEP_7,0.036080156536471876,4.3989644164711361
MCEP_8,1.3669609606761413e-06,23.462381615040265
MCEP_9,1.7227021692092546e-05,18.559655675799547
MCEP_10,0.46649562808422718,0.53045805757909081
MCEP_11,3.6986363887268844e-63,301.23340779337269
MCEP_12,6.4159347470676225e-08,29.445204298016808
MCEP_13,4.3295531669581828e-07,25.703825651656484
MCEP_14,4.9318290226150185e-05,16.542940541272635
MCEP_15,0.16271992111786149,1.9501359322767384
MCEP_16,0.20261695558773268,1.6244255450608378
MCEP_17,0.92626370827278171,0.008566946164625628
MCEP_18,2.7056493965094015e-09,35.693635684717442
MCEP_19,0.64669927633458824,0.21014752975767556
MCEP_20,6.8294755336015997e-07,24.814127040940395
MCEP_21,0.90233712171676195,0.01506127036188171
MCEP_22,0.016309226425052965,5.7785430426800177
MCEP_23,0.0022171252851365749,9.383645615241349
MCEP_24,0.73089179143778193,0.11832590605684473
HMPDM_0,nan,nan
HMPDM_1,nan,nan
HMPDM_2,nan,nan
HMPDM_3,nan,nan
HMPDM_4,0.0033552301378000681,8.6231935974203751
HMPDM_5,0.002068937348343171,9.5111017665394719
HMPDM_6,0.82382102732599627,0.049577922983184163
HMPDM_7,0.00019439343781209662,13.933890393944662
HMPDM_8,2.0753254788569168e-10,40.795603883919846
HMPDM_9,1.2643182279174589e-18,79.067863769508293
HMPDM_10,8.1049747849071596e-19,79.979667559999001
HMPDM_11,0.069761426155413087,3.2919886386431991
HMPDM_12,1.4642624845102336e-06,23.328629264137774
HMPDM_13,0.00013187395005234402,14.669340091620196
HMPDM_14,0.86391537141845887,0.029382500606343342
HMPDM_15,0.032759364018571109,4.5643551893692536
HMPDM_16,0.09957407292842832,2.7147534909742181
HMPDM_17,0.64733058427046819,0.20934253411254317
HMPDM_18,0.36511359904098217,0.82058363331337436
HMPDM_19,0.10954717330040688,2.5629162139826227
HMPDM_20,0.27256051032753631,1.2044475342269574
HMPDM_21,0.12721252434662858,2.3280397193626938
HMPDM_22,0.7661120803615652,0.088507950832604126
HMPDM_23,1.8914256526182084e-09,36.403256358000355
HMPDM_24,0.017878565854683431,5.6168508187171842
 HMPDD_0,6.5871929308628051e-09,33.932533051267484
HMPDD_1,2.2310041585296065e-13,54.498654718173484
HMPDD_2,4.0495562984437985e-15,62.606260092616374
HMPDD_3,1.3734764398816877e-14,60.13124688756993
HMPDD_4,2.2578817391275973e-12,49.840559037305482
HMPDD_5,3.3389902573204238e-17,72.37035854272456
HMPDD_6,0.033179525411725273,4.5424833653053041
HMPDD_7,0.0069024284944227072,7.3126391178486578
HMPDD_8,3.7201352226486052e-13,53.468149694796047
HMPDD_9,8.7056672313549913e-18,75.11714685244992
HMPDD_10,2.7952286041338986e-14,58.693294555548313
HMPDD_11,1.0924231538716474e-17,74.652960755062949
HMPDD_12,1.0219051047203868e-15,65.401772935472806
