Feature,P-value,F-value
x41,6.7839718779684883e-06,20.356148533148726
x42,0.00012624093866420521,14.752218234166603
x43,0.00018042705361082529,14.075022082690767
x44,0.00026108709610543856,13.376402065368282
x45,0.00042215929450577233,12.471353556455698
x46,0.0002380176109409768,13.551091561364048
x47,0.00015952832615082668,14.308237646777545
x48,2.5592088954015932e-05,17.799306227557746
x49,1.4112295949276524e-05,18.9433921989454
x50,1.0288288592625492e-05,19.552314036674389
x51,8.902214480964846e-06,19.831446452215705
x52,8.8014533214455172e-06,19.853412648015592
x53,1.0112916435281929e-05,19.585467695259563
x54,1.6434778556221499e-05,18.650206403812344
x55,1.0054302967149858e-05,19.596677381964284
x56,9.3017983817482803e-06,19.746729174017105
x57,9.1902088076624111e-06,19.770013959808644
x58,1.0695202574515378e-05,19.477525602031381
x59,1.5498699476371853e-05,18.763031092673369
x60,2.6805436682792575e-05,17.710432237109821
x61,1.065051419265532e-05,19.485597988950719
x62,8.8706497670984075e-06,19.838300653047572
x63,9.0084717870541352e-06,19.808551106433111
x64,1.1923495729711456e-05,19.267991113431549
x65,1.051469310516241e-05,19.510342942451274
x66,1.0263938282542904e-05,19.556883294690049
x67,1.222081328649232e-05,19.220536967348508
y0,0.018706343681215251,5.5373735598770999
y1,0.010625927539492897,6.5385511986808309
y2,0.0063326307466358882,7.4681644221863754
y3,0.0042026084191456922,8.2121153188004463
y4,0.0041960416348884554,8.214964193639025
y5,0.0055044544376305566,7.7217829437308065
y6,0.0090090366609715047,6.8337654974073487
y7,0.012378454449234959,6.2666712167253573
y8,0.010518570798809855,6.5566758352153753
y9,0.0070587344607890316,7.2722663983632634
y10,0.0031236811282149726,8.7540746644064846
y11,0.0012703908807871135,10.41329150977081
y12,0.0010582067277553405,10.752864639925916
y13,0.0021072068041130859,9.4773195368132992
y14,0.0058305799448499828,7.6175388059293843
y15,0.015813747324964652,5.832947868668346
y16,0.034572352676074607,4.4719962963808984
y17,0.16938094527036113,1.8897143474772342
y18,0.19993230017590935,1.6439041456924037
y19,0.19991951150731663,1.6439976692768532
y20,0.18000495044740233,1.7987822918763172
y21,0.15631837848508481,2.0109270025187009
y22,0.13750343392374947,2.2073639999055317
y23,0.12168555796857181,2.3974304146085412
y24,0.11537070338173484,2.4811233612324832
y25,0.092063440146778697,2.8405153615565131
y26,0.067801956858644444,3.3388965490425617
y27,0.063375391972253489,3.4504286345907946
y28,0.082717539010848926,3.0135606478833559
y29,0.10733646792010748,2.5952275517535646
y30,0.13651383753454291,2.2185221873077565
y31,0.076029368948161591,3.1509147207929167
y32,0.084410274547527156,2.9806953697807721
y33,0.091154664521803236,2.8564860375495611
y34,0.079722717133657736,3.0735263866147773
y35,0.063942966614846983,3.4356706689955043
y36,0.073708874310236594,3.2016354157359763
y37,0.067649260933724795,3.3426127183705057
y38,0.06761849154713219,3.3433626409944113
y39,0.068792028440251868,3.3150163308921736
y40,0.068590977751613547,3.319835717181006
y41,0.07125675275653226,3.2571316493667073
y42,0.043901257331500999,4.0652565970819303
y43,0.037167802877456572,4.3482408586527201
y44,0.033746780999933931,4.5134093669772906
y45,0.035477832979118371,4.4277482009836602
y46,0.03809999262262348,4.3059902345759138
y47,0.038961385549265808,4.2679013521938067
y48,0.039406415875163504,4.2485678559631017
y49,0.078827910077990795,3.0919157667724133
y50,0.097358578458581799,2.7507454344658355
y51,0.094527314892665706,2.798063696582453
y52,0.085468884775288911,2.9605022048800849
y53,0.059680282868842582,3.5500926089074265
y54,0.031851459674980966,4.6126350228257271
y55,0.054211502100643905,3.7103348632759916
y56,0.066933841599646063,3.3601442581773289
y57,0.075512306386735381,3.162071046221179
y58,0.076764302649153765,3.1351972012169362
y59,0.067114130148028792,3.3557074167061862
y60,0.051479866530209639,3.7969276368356395
y61,0.077557033212432569,3.1184241588603534
y62,0.079992383620388963,3.068028023408552
y63,0.065848462123204943,3.3871280272187199
y64,0.040419368162929077,4.2054036066882574
y65,0.067137058915251041,3.3551440610969729
y66,0.079083428295976588,3.0866416916587065
y67,0.07842638463446408,3.1002408696215218
